"","Year","Month","..Total_Users","..Tot_session_perUser","..Total_Pg_Sessions","..Total_Session","..Total_revenue","..Total_ECR","..Total_bounce_rate","..Total_avg_sess_duration","Avg_Users","Avg_sessionPer_user","Avg_Pg_session","Avg_session","Avg_revenue","Avg_ECR","Avg_bounce_rate","Avg_session_duration"
"34",2017,"March",77981,34.15,131.27,86029,415043.62,84.11,1562.95,4846,2515.51612903226,1.10161290322581,4.23451612903226,2775.12903225806,13388.5038709677,2.71322580645161,50.4177419354839,156.322580645161
"35",2017,"May",84120,33.08,113.33,92837,365412.09,61.83,1655.33,3830,2804,1.10266666666667,3.77766666666667,3094.56666666667,12180.403,2.061,55.1776666666667,127.666666666667
"36",2017,"November",97295,34.73,129.92,109054,412290.7,60.82,1587.52,4498,3138.54838709677,1.12032258064516,4.19096774193548,3517.87096774194,13299.7,1.96193548387097,51.2103225806452,145.096774193548
"37",2017,"October",87817,33.92,132.47,99264,511304.09,67.39,1374.09,4526,2927.23333333333,1.13066666666667,4.41566666666667,3308.8,17043.4696666667,2.24633333333333,45.803,150.866666666667
"38",2017,"September",91910,34.36,120.18,101885,513500.22,83.92,1535.35,4190,2964.83870967742,1.10838709677419,3.87677419354839,3286.61290322581,16564.5232258064,2.70709677419355,49.5274193548387,135.161290322581
"39",2018,"April",78613,34.11,120.49,86607,404993.83,72.77,1520.52,4097,2535.90322580645,1.10032258064516,3.88677419354839,2793.77419354839,13064.3170967742,2.34741935483871,49.0490322580645,132.161290322581
"40",2018,"August",76544,30.57,102.51,83578,320480.66,53.8,1340.07,3323,2733.71428571429,1.09178571428571,3.66107142857143,2984.92857142857,11445.7378571429,1.92142857142857,47.8596428571429,118.678571428571
"41",2018,"December",88879,34.05,124.4,97724,508718.82,75.25,1423.62,4038,2867.06451612903,1.09838709677419,4.01290322580645,3152.38709677419,16410.284516129,2.42741935483871,45.9232258064516,130.258064516129
"42",2018,"February",79429,33.44,125.08,88566,585960.96,80.2,1342.21,4243,2647.63333333333,1.11466666666667,4.16933333333333,2952.2,19532.032,2.67333333333333,44.7403333333333,141.433333333333
"43",2018,"January",84077,34.79,133.98,94612,465557.4,100.7,1396.33,4678,2712.16129032258,1.12225806451613,4.32193548387097,3052,15017.9806451613,3.24838709677419,45.0429032258064,150.903225806452
"44",2018,"July",71589,33.69,133.85,80546,205018.64,69.49,1302.6,4827,2386.3,1.123,4.46166666666667,2684.86666666667,6833.95466666667,2.31633333333333,43.42,160.9
"45",2018,"June",67011,34.96,137.57,75707,126442.8,36.33,1298.88,5004,2161.64516129032,1.12774193548387,4.43774193548387,2442.16129032258,4078.8,1.17193548387097,41.8993548387097,161.41935483871
"46",2018,"March",67103,34.56,140.75,74834,107854.22,43.77,1286.96,4918,2164.61290322581,1.11483870967742,4.54032258064516,2414,3479.16838709677,1.41193548387097,41.5148387096774,158.645161290323
"47",2018,"May",62013,33.74,140.76,69816,118475.94,37.3,1323.21,4991,2067.1,1.12466666666667,4.692,2327.2,3949.198,1.24333333333333,44.107,166.366666666667
"48",2018,"November",71908,35.53,136.78,82370,114254.44,24.61,1301.12,5365,2319.61290322581,1.14612903225806,4.41225806451613,2657.09677419355,3685.62709677419,0.793870967741935,41.9716129032258,173.064516129032
"49",2018,"October",73331,34.01,127.43,83070,3269.78,2.59,1257.87,4905,2444.36666666667,1.13366666666667,4.24766666666667,2769,108.992666666667,0.0863333333333333,41.929,163.5
"50",2018,"September",53634,35.2,167.12,61260,6143.84,5.76,1130.88,6851,1730.12903225806,1.13548387096774,5.39096774193548,1976.12903225806,198.188387096774,0.185806451612903,36.48,221
"51",2019,"April",45877,34.7,154.68,51477,3948.42,3.98,1150.21,6143,1479.90322580645,1.11935483870968,4.98967741935484,1660.54838709677,127.368387096774,0.128387096774194,37.1035483870968,198.161290322581
"52",2019,"August",50673,31.71,118.3,57401,3263.94,2.66,1154.31,4655,1809.75,1.1325,4.225,2050.03571428571,116.569285714286,0.095,41.2253571428571,166.25
"53",2019,"December",64130,35.05,138.37,72403,5174.55,4.31,1330.03,5416,2068.70967741935,1.13064516129032,4.46354838709677,2335.58064516129,166.920967741935,0.139032258064516,42.9041935483871,174.709677419355
"54",2019,"February",62114,34.04,133.27,70232,5374.44,4.01,1283.36,5183,2070.46666666667,1.13466666666667,4.44233333333333,2341.06666666667,179.148,0.133666666666667,42.7786666666667,172.766666666667
"55",2019,"January",66979,35.14,131.48,75832,5134.72,3.81,1331.92,5141,2160.61290322581,1.13354838709677,4.24129032258065,2446.1935483871,165.636129032258,0.122903225806452,42.9651612903226,165.838709677419
"56",2019,"July",61935,34,143.62,70191,4350.14,4.78,1236.41,5856,2064.5,1.13333333333333,4.78733333333333,2339.7,145.004666666667,0.159333333333333,41.2136666666667,195.2
"57",2019,"June",60148,35.04,141.92,68108,6113.92,4.71,1284.12,5291,1940.25806451613,1.13032258064516,4.57806451612903,2197.03225806452,197.223225806452,0.151935483870968,41.4232258064516,170.677419354839
"58",2019,"March",62014,34.9,137.57,69750,5195.21,5.5,1399.93,5283,2000.45161290323,1.1258064516129,4.43774193548387,2250,167.587419354839,0.17741935483871,45.1590322580645,170.41935483871
"59",2019,"May",63989,34.02,126.51,72425,5078.98,4.24,1400.31,4965,2132.96666666667,1.134,4.217,2414.16666666667,169.299333333333,0.141333333333333,46.677,165.5
"60",2019,"November",64648,35.15,113.04,73242,7445.2,3.91,1408.97,5072,2085.41935483871,1.13387096774194,3.64645161290323,2362.64516129032,240.167741935484,0.126129032258065,45.4506451612903,163.612903225806
"61",2019,"October",71150,34.18,131.05,81371,4391.75,3.84,1407.04,5285,2371.66666666667,1.13933333333333,4.36833333333333,2712.36666666667,146.391666666667,0.128,46.9013333333333,176.166666666667
"62",2019,"September",64693,34.64,138.66,72586,7879.6,6.84,1384.32,5272,2086.87096774194,1.11741935483871,4.47290322580645,2341.48387096774,254.18064516129,0.220645161290323,44.6554838709677,170.064516129032
"63",2020,"April",57094,34.56,134.28,63722,4063.75,4.4,1417.64,5400,1841.74193548387,1.11483870967742,4.33161290322581,2055.54838709677,131.088709677419,0.141935483870968,45.7303225806452,174.193548387097
"64",2020,"August",55512,32.36,124.55,61960,4064.6,3.4,1366.79,4815,1914.20689655172,1.11586206896552,4.2948275862069,2136.55172413793,140.158620689655,0.117241379310345,47.1306896551724,166.034482758621
"65",2020,"December",48479,34.9,120.95,54449,3886.44,3.45,1555.07,5128,1563.83870967742,1.1258064516129,3.90161290322581,1756.41935483871,125.369032258065,0.111290322580645,50.1635483870968,165.41935483871
"66",2020,"February",52853,33.63,121,59232,3035.02,2.97,1508.91,4854,1761.76666666667,1.121,4.03333333333333,1974.4,101.167333333333,0.099,50.297,161.8
